"Časová pečiatka","Aký je tvoj vek?","Pohlavie","Ako by si zhodnotil tvoje skúsenosti s prezentovaním?","Ako celkovo hodnotíte kvalitu tohto prejavu?","Ako hodnotíte očný kontakt prezentujúceho s publikom (vami)?","Ako hodnotíte pohyby tela prezentujúceho?","Ako hodnotíte plynulosť reči prezentujúceho? (výplňové slová, tempo reči, zrozumiteľnosť)","Ako hodnotíte hlas prezentujúceho? (výška hlasu, hlasitosť)","Ako celkovo hodnotíte kvalitu tohto prejavu?","Ako hodnotíte očný kontakt prezentujúceho s publikom (vami)?","Ako hodnotíte pohyby tela prezentujúceho?","Ako hodnotíte plynulosť reči prezentujúceho? (výplňové slová, tempo reči, zrozumiteľnosť)","Ako hodnotíte hlas prezentujúceho? (výška hlasu, hlasitosť)","Ako celkovo hodnotíte kvalitu tohto prejavu?","Ako hodnotíte očný kontakt prezentujúceho s publikom (vami)?","Ako hodnotíte pohyby tela prezentujúceho?","Ako hodnotíte plynulosť reči prezentujúceho? (výplňové slová, tempo reči, zrozumiteľnosť)","Ako hodnotíte hlas prezentujúceho? (výška hlasu, hlasitosť)","Ako celkovo hodnotíte kvalitu tohto prejavu?","Ako hodnotíte očný kontakt prezentujúceho s publikom (vami)?","Ako hodnotíte pohyby tela prezentujúceho?","Ako hodnotíte plynulosť reči prezentujúceho? (výplňové slová, tempo reči, zrozumiteľnosť)","Ako hodnotíte hlas prezentujúceho? (výška hlasu, hlasitosť)","Ako celkovo hodnotíte kvalitu tohto prejavu?","Ako hodnotíte očný kontakt prezentujúceho s publikom (vami)?","Ako hodnotíte pohyby tela prezentujúceho?","Ako hodnotíte plynulosť reči prezentujúceho? (výplňové slová, tempo reči, zrozumiteľnosť)","Ako hodnotíte hlas prezentujúceho? (výška hlasu, hlasitosť)","Ako celkovo hodnotíte kvalitu tohto prejavu?","Ako hodnotíte očný kontakt prezentujúceho s publikom (vami)?","Ako hodnotíte pohyby tela prezentujúceho?","Ako hodnotíte plynulosť reči prezentujúceho? (výplňové slová, tempo reči, zrozumiteľnosť)","Ako hodnotíte hlas prezentujúceho? (výška hlasu, hlasitosť)"
"2026/04/22 12:45:34 PM GMT+2","18-25","Muž","Prezentovanie je bežná súčasť môjho štúdia alebo práce","7","8","7","8","8","5","6","5","6","6","7","7","8","8","7","6","7","8","7","4","8","7","7","7","8","7","8","8","8","7"
"2026/04/22 3:16:51 PM GMT+2","36-50","Muž","Prezentujem len výnimočne (škola / práca)","8","9","8","9","9","6","8","5","8","8","6","8","4","6","7","7","8","8","7","7","5","8","5","3","7","6","7","6","6","7"
"2026/04/22 3:32:51 PM GMT+2","26-35","Muž","Dlhšie som nikde neprezentoval","9","10","10","9","8","7","6","6","8","7","10","10","9","10","9","9","9","10","9","7","7","7","9","7","9","7","9","9","7","8"
"2026/04/22 8:46:07 PM GMT+2","36-50","Muž","Prezentovanie je bežná súčasť môjho štúdia alebo práce","6","5","5","6","8","2","4","3","3","4","4","4","3","5","4","2","2","2","3","2","1","1","1","1","2","2","1","1","1","1"
"2026/04/22 9:02:02 PM GMT+2","50+","Muž","Aktívne sa venujem verejnému prezentovaniu","10","10","10","10","10","5","5","5","9","10","5","9","9","9","9","3","7","7","3","3","2","2","2","2","2","2","3","3","3","2"
"2026/04/23 1:34:43 PM GMT+2","26-35","Muž","Prezentujem len výnimočne (škola / práca)","9","9","8","9","9","5","4","2","4","5","7","8","6","8","7","3","6","5","4","1","4","6","6","2","6","8","7","8","7","8"
"2026/04/23 1:49:21 PM GMT+2","26-35","Muž","Prezentujem len výnimočne (škola / práca)","7","9","6","6","8","3","4","3","3","5","8","7","5","6","6","2","6","6","3","1","1","2","5","1","4","8","9","8","2","8"
"2026/04/23 5:22:12 PM GMT+2","26-35","Žena","Prezentujem len výnimočne (škola / práca)","7","9","7","6","8","7","7","7","6","8","7","9","6","6","8","5","9","6","4","6","7","9","8","5","7","4","9","7","4","8"
"2026/04/23 5:37:41 PM GMT+2","50+","Žena","Dlhšie som nikde neprezentoval","9","10","8","9","9","7","6","7","7","8","7","8","6","8","7","4","6","7","8","2","5","8","7","4","8","6","9","6","9","8"
"2026/04/24 2:34:16 PM GMT+3","36-50","Muž","Prezentujem len výnimočne (škola / práca)","2","4","2","5","6","2","2","2","2","3","5","4","3","4","5","3","2","3","5","4","3","3","5","5","4","3","4","3","4","4"
"2026/04/24 7:42:05 PM GMT+3","26-35","Žena","Prezentovanie je bežná súčasť môjho štúdia alebo práce","6","9","3","6","6","5","6","4","5","4","5","7","2","7","7","2","6","2","3","1","4","7","2","3","4","5","8","3","4","6"
"2026/04/24 11:58:17 PM GMT+3","36-50","Žena","Prezentovanie je bežná súčasť môjho štúdia alebo práce","5","8","1","9","6","4","7","5","7","8","5","8","3","8","7","6","9","9","9","5","3","6","5","4","4","6","7","9","7","7"
